Border,Date,Measure,Value,Average
US-Canada Border,12/01/2000 12:00:00 AM,Rail Containers Empty,26822,32161
US-Mexico Border,12/01/2000 12:00:00 AM,Rail Containers Empty,25083,24704
US-Mexico Border,12/01/2000 12:00:00 AM,Buses,24894,22861
US-Canada Border,12/01/2000 12:00:00 AM,Train Passengers,18112,20262
US-Mexico Border,12/01/2000 12:00:00 AM,Rail Containers Full,16933,21282
US-Canada Border,12/01/2000 12:00:00 AM,Buses,11055,15127
US-Canada Border,12/01/2000 12:00:00 AM,Trains,2610,2858
US-Mexico Border,12/01/2000 12:00:00 AM,Train Passengers,1266,1589
US-Mexico Border,12/01/2000 12:00:00 AM,Trains,540,603
US-Mexico Border,12/01/1999 12:00:00 AM,Personal Vehicle Passengers,21420461,20038814
US-Mexico Border,12/01/1999 12:00:00 AM,Personal Vehicles,7893894,7427082
US-Canada Border,12/01/1999 12:00:00 AM,Personal Vehicle Passengers,6026165,7216606
US-Mexico Border,12/01/1999 12:00:00 AM,Pedestrians,4376708,3710463
US-Canada Border,12/01/1999 12:00:00 AM,Personal Vehicles,2706197,3115502
US-Canada Border,12/01/1999 12:00:00 AM,Trucks,531633,595522
US-Canada Border,12/01/1999 12:00:00 AM,Truck Containers Full,405789,476840
US-Mexico Border,12/01/1999 12:00:00 AM,Trucks,352977,371258
US-Canada Border,12/01/1999 12:00:00 AM,Bus Passengers,234869,368646
US-Mexico Border,12/01/1999 12:00:00 AM,Bus Passengers,216338,231752
US-Mexico Border,12/01/1999 12:00:00 AM,Truck Containers Full,187457,186679
US-Mexico Border,12/01/1999 12:00:00 AM,Truck Containers Empty,158818,155236
US-Canada Border,12/01/1999 12:00:00 AM,Rail Containers Full,92110,93931
US-Canada Border,12/01/1999 12:00:00 AM,Truck Containers Empty,64679,78621
US-Canada Border,12/01/1999 12:00:00 AM,Pedestrians,40904,43580
US-Mexico Border,12/01/1999 12:00:00 AM,Rail Containers Empty,27902,27351
US-Canada Border,12/01/1999 12:00:00 AM,Rail Containers Empty,25824,28300
US-Mexico Border,12/01/1999 12:00:00 AM,Buses,23477,23055
US-Mexico Border,12/01/1999 12:00:00 AM,Rail Containers Full,17963,18611
US-Canada Border,12/01/1999 12:00:00 AM,Train Passengers,16368,19063
US-Canada Border,12/01/1999 12:00:00 AM,Buses,10447,15781
US-Canada Border,12/01/1999 12:00:00 AM,Trains,2529,2698
US-Mexico Border,12/01/1999 12:00:00 AM,Train Passengers,1011,1409
US-Mexico Border,12/01/1999 12:00:00 AM,Trains,490,505
US-Mexico Border,12/01/1998 12:00:00 AM,Personal Vehicle Passengers,19698688,18814827
US-Mexico Border,12/01/1998 12:00:00 AM,Personal Vehicles,7288229,6980747
US-Canada Border,12/01/1998 12:00:00 AM,Personal Vehicle Passengers,5902056,7028102
US-Mexico Border,12/01/1998 12:00:00 AM,Pedestrians,4697031,3540709
US-Canada Border,12/01/1998 12:00:00 AM,Personal Vehicles,2545873,2958601
US-Canada Border,12/01/1998 12:00:00 AM,Trucks,490438,534123
US-Canada Border,12/01/1998 12:00:00 AM,Truck Containers Full,387333,394354
US-Mexico Border,12/01/1998 12:00:00 AM,Trucks,326492,328544
US-Mexico Border,12/01/1998 12:00:00 AM,Bus Passengers,289641,291349
US-Canada Border,12/01/1998 12:00:00 AM,Bus Passengers,211030,333754
US-Mexico Border,12/01/1998 12:00:00 AM,Truck Containers Full,157249,171060
US-Mexico Border,12/01/1998 12:00:00 AM,Truck Containers Empty,148121,148004
US-Canada Border,12/01/1998 12:00:00 AM,Rail Containers Full,86713,86789
US-Canada Border,12/01/1998 12:00:00 AM,Truck Containers Empty,60402,62099
US-Canada Border,12/01/1998 12:00:00 AM,Pedestrians,38366,43880
US-Canada Border,12/01/1998 12:00:00 AM,Rail Containers Empty,24874,26812
US-Mexico Border,12/01/1998 12:00:00 AM,Buses,23228,21961
US-Mexico Border,12/01/1998 12:00:00 AM,Rail Containers Empty,18045,18468
US-Canada Border,12/01/1998 12:00:00 AM,Train Passengers,16657,18377
US-Mexico Border,12/01/1998 12:00:00 AM,Rail Containers Full,16316,15193
US-Canada Border,12/01/1998 12:00:00 AM,Buses,10396,13918
US-Canada Border,12/01/1998 12:00:00 AM,Trains,2592,2718
US-Mexico Border,12/01/1998 12:00:00 AM,Train Passengers,1080,1400
US-Mexico Border,12/01/1998 12:00:00 AM,Trains,484,498
US-Mexico Border,12/01/1997 12:00:00 AM,Personal Vehicle Passengers,19719715,18658150
US-Mexico Border,12/01/1997 12:00:00 AM,Personal Vehicles,7346174,6950161
US-Canada Border,12/01/1997 12:00:00 AM,Personal Vehicle Passengers,6155147,7601038
US-Mexico Border,12/01/1997 12:00:00 AM,Pedestrians,4418646,3583297
US-Canada Border,12/01/1997 12:00:00 AM,Personal Vehicles,2622825,3164783
US-Canada Border,12/01/1997 12:00:00 AM,Trucks,451639,497849
US-Canada Border,12/01/1997 12:00:00 AM,Bus Passengers,313680,323725
US-Mexico Border,12/01/1997 12:00:00 AM,Trucks,306611,314278
US-Canada Border,12/01/1997 12:00:00 AM,Truck Containers Full,270069,278640
US-Mexico Border,12/01/1997 12:00:00 AM,Bus Passengers,237839,255222
US-Mexico Border,12/01/1997 12:00:00 AM,Truck Containers Full,148390,153753
US-Mexico Border,12/01/1997 12:00:00 AM,Truck Containers Empty,144599,142028
US-Canada Border,12/01/1997 12:00:00 AM,Rail Containers Full,70773,65869
US-Canada Border,12/01/1997 12:00:00 AM,Truck Containers Empty,47730,45653
US-Canada Border,12/01/1997 12:00:00 AM,Pedestrians,31616,44345
US-Mexico Border,12/01/1997 12:00:00 AM,Buses,22931,21884
US-Canada Border,12/01/1997 12:00:00 AM,Rail Containers Empty,21529,20957
US-Canada Border,12/01/1997 12:00:00 AM,Train Passengers,16988,18902
US-Mexico Border,12/01/1997 12:00:00 AM,Rail Containers Empty,16306,13606
US-Mexico Border,12/01/1997 12:00:00 AM,Rail Containers Full,10103,12725
US-Canada Border,12/01/1997 12:00:00 AM,Buses,9808,12697
US-Canada Border,12/01/1997 12:00:00 AM,Trains,2793,2737
US-Mexico Border,12/01/1997 12:00:00 AM,Train Passengers,493,1127
US-Mexico Border,12/01/1997 12:00:00 AM,Trains,406,517
US-Mexico Border,12/01/1996 12:00:00 AM,Personal Vehicle Passengers,13190005,14189787
US-Canada Border,12/01/1996 12:00:00 AM,Personal Vehicle Passengers,7159086,8159230
US-Mexico Border,12/01/1996 12:00:00 AM,Personal Vehicles,4761963,5109806
US-Canada Border,12/01/1996 12:00:00 AM,Personal Vehicles,2811916,3207357
US-Mexico Border,12/01/1996 12:00:00 AM,Pedestrians,2622075,2539449
US-Canada Border,12/01/1996 12:00:00 AM,Trucks,412045,471224
US-Mexico Border,12/01/1996 12:00:00 AM,Bus Passengers,361899,139770
US-Mexico Border,12/01/1996 12:00:00 AM,Trucks,281887,290192
US-Canada Border,12/01/1996 12:00:00 AM,Bus Passengers,230067,318833
US-Mexico Border,12/01/1996 12:00:00 AM,Truck Containers Full,118898,143409
US-Mexico Border,12/01/1996 12:00:00 AM,Truck Containers Empty,102137,119634
US-Canada Border,12/01/1996 12:00:00 AM,Truck Containers Full,91317,109890
US-Canada Border,12/01/1996 12:00:00 AM,Rail Containers Full,23607,25858
US-Canada Border,12/01/1996 12:00:00 AM,Truck Containers Empty,19225,22765
US-Canada Border,12/01/1996 12:00:00 AM,Pedestrians,16449,40989
US-Mexico Border,12/01/1996 12:00:00 AM,Rail Containers Empty,14969,12294
US-Canada Border,12/01/1996 12:00:00 AM,Train Passengers,13990,15383
US-Mexico Border,12/01/1996 12:00:00 AM,Rail Containers Full,12246,10996
US-Canada Border,12/01/1996 12:00:00 AM,Buses,10863,14621
US-Canada Border,12/01/1996 12:00:00 AM,Rail Containers Empty,10458,9511
US-Mexico Border,12/01/1996 12:00:00 AM,Buses,10039,9714
US-Canada Border,12/01/1996 12:00:00 AM,Trains,2501,2686
US-Mexico Border,12/01/1996 12:00:00 AM,Train Passengers,891,1033
US-Mexico Border,12/01/1996 12:00:00 AM,Trains,782,554
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,11389748,12049804
US-Mexico Border,11/01/2018 12:00:00 AM,Personal Vehicles,6083730,6487195
US-Mexico Border,11/01/2018 12:00:00 AM,Pedestrians,3959951,3787787
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicle Passengers,3523204,4571547
US-Canada Border,11/01/2018 12:00:00 AM,Personal Vehicles,1933646,2409225
US-Mexico Border,11/01/2018 12:00:00 AM,Trucks,535417,542483
US-Canada Border,11/01/2018 12:00:00 AM,Trucks,476793,508176
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Full,390148,396070
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Full,358925,382327
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Full,163324,159564
US-Mexico Border,11/01/2018 12:00:00 AM,Truck Containers Empty,150973,153319
US-Mexico Border,11/01/2018 12:00:00 AM,Bus Passengers,150920,159789
US-Canada Border,11/01/2018 12:00:00 AM,Truck Containers Empty,127697,136248
US-Canada Border,11/01/2018 12:00:00 AM,Bus Passengers,105606,179701
US-Canada Border,11/01/2018 12:00:00 AM,Rail Containers Empty,59112,62977
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Empty,54868,51568
US-Mexico Border,11/01/2018 12:00:00 AM,Rail Containers Full,41616,43914
US-Canada Border,11/01/2018 12:00:00 AM,Pedestrians,21290,57449
US-Mexico Border,11/01/2018 12:00:00 AM,Buses,13325,14178
US-Canada Border,11/01/2018 12:00:00 AM,Train Passengers,11720,27571
US-Canada Border,11/01/2018 12:00:00 AM,Buses,4777,7389
US-Canada Border,11/01/2018 12:00:00 AM,Trains,1979,2034
US-Mexico Border,11/01/2018 12:00:00 AM,Train Passengers,1017,913
US-Mexico Border,11/01/2018 12:00:00 AM,Trains,970,968
US-Mexico Border,11/01/2017 12:00:00 AM,Personal Vehicle Passengers,11928122,12030841
US-Mexico Border,11/01/2017 12:00:00 AM,Personal Vehicles,6369244,6465527
US-Mexico Border,11/01/2017 12:00:00 AM,Pedestrians,3846738,3560979
US-Canada Border,11/01/2017 12:00:00 AM,Personal Vehicle Passengers,3630353,4617757
US-Canada Border,11/01/2017 12:00:00 AM,Personal Vehicles,2002198,2428148
US-Mexico Border,11/01/2017 12:00:00 AM,Trucks,513361,519403
US-Canada Border,11/01/2017 12:00:00 AM,Trucks,493062,497451
US-Canada Border,11/01/2017 12:00:00 AM,Truck Containers Full,367342,375975
US-Mexico Border,11/01/2017 12:00:00 AM,Truck Containers Full,358016,361884
US-Mexico Border,11/01/2017 12:00:00 AM,Truck Containers Empty,150965,159417
US-Canada Border,11/01/2017 12:00:00 AM,Rail Containers Full,147252,147260
US-Mexico Border,11/01/2017 12:00:00 AM,Bus Passengers,137698,135320
US-Canada Border,11/01/2017 12:00:00 AM,Truck Containers Empty,135585,136221
US-Canada Border,11/01/2017 12:00:00 AM,Bus Passengers,106550,190217
US-Canada Border,11/01/2017 12:00:00 AM,Rail Containers Empty,64178,67195
US-Mexico Border,11/01/2017 12:00:00 AM,Rail Containers Empty,49157,47405
US-Mexico Border,11/01/2017 12:00:00 AM,Rail Containers Full,41351,43402
US-Canada Border,11/01/2017 12:00:00 AM,Pedestrians,20077,57250
US-Mexico Border,11/01/2017 12:00:00 AM,Buses,13786,14230
US-Canada Border,11/01/2017 12:00:00 AM,Train Passengers,13675,26001
US-Canada Border,11/01/2017 12:00:00 AM,Buses,4930,7925
US-Canada Border,11/01/2017 12:00:00 AM,Trains,1872,1916
US-Mexico Border,11/01/2017 12:00:00 AM,Trains,934,981
US-Mexico Border,11/01/2017 12:00:00 AM,Train Passengers,800,945
US-Mexico Border,11/01/2016 12:00:00 AM,Personal Vehicle Passengers,11496406,11689426
US-Mexico Border,11/01/2016 12:00:00 AM,Personal Vehicles,6199468,6342455
US-Mexico Border,11/01/2016 12:00:00 AM,Pedestrians,3663638,3601219
US-Canada Border,11/01/2016 12:00:00 AM,Personal Vehicle Passengers,3505423,4588177
US-Canada Border,11/01/2016 12:00:00 AM,Personal Vehicles,2021594,2513816
US-Canada Border,11/01/2016 12:00:00 AM,Trucks,492637,502380
US-Mexico Border,11/01/2016 12:00:00 AM,Trucks,492340,491655
US-Canada Border,11/01/2016 12:00:00 AM,Truck Containers Full,403023,400649
US-Mexico Border,11/01/2016 12:00:00 AM,Truck Containers Full,339115,339342
US-Mexico Border,11/01/2016 12:00:00 AM,Truck Containers Empty,150063,149045
US-Mexico Border,11/01/2016 12:00:00 AM,Bus Passengers,148799,162488
US-Canada Border,11/01/2016 12:00:00 AM,Rail Containers Full,134162,131330
US-Canada Border,11/01/2016 12:00:00 AM,Bus Passengers,115672,194086
US-Canada Border,11/01/2016 12:00:00 AM,Truck Containers Empty,95053,97105
US-Canada Border,11/01/2016 12:00:00 AM,Rail Containers Empty,54951,54358
US-Mexico Border,11/01/2016 12:00:00 AM,Rail Containers Empty,42914,42802
US-Mexico Border,11/01/2016 12:00:00 AM,Rail Containers Full,41657,44232
US-Canada Border,11/01/2016 12:00:00 AM,Pedestrians,21239,57400
US-Mexico Border,11/01/2016 12:00:00 AM,Buses,13564,13771
US-Canada Border,11/01/2016 12:00:00 AM,Train Passengers,12683,26227
US-Canada Border,11/01/2016 12:00:00 AM,Buses,5577,8090
US-Canada Border,11/01/2016 12:00:00 AM,Trains,2561,2559
US-Mexico Border,11/01/2016 12:00:00 AM,Train Passengers,919,1252
US-Mexico Border,11/01/2016 12:00:00 AM,Trains,874,895
US-Mexico Border,11/01/2015 12:00:00 AM,Personal Vehicle Passengers,11630109,11382881
US-Mexico Border,11/01/2015 12:00:00 AM,Personal Vehicles,6255819,6241592
US-Mexico Border,11/01/2015 12:00:00 AM,Pedestrians,3551959,3463280
US-Canada Border,11/01/2015 12:00:00 AM,Personal Vehicle Passengers,3549922,4569123
US-Canada Border,11/01/2015 12:00:00 AM,Personal Vehicles,2055745,2528190
US-Canada Border,11/01/2015 12:00:00 AM,Trucks,486513,500261
US-Mexico Border,11/01/2015 12:00:00 AM,Trucks,449882,471525
US-Canada Border,11/01/2015 12:00:00 AM,Truck Containers Full,383318,394557
US-Mexico Border,11/01/2015 12:00:00 AM,Truck Containers Full,315596,333769
US-Mexico Border,11/01/2015 12:00:00 AM,Bus Passengers,185505,200882
US-Canada Border,11/01/2015 12:00:00 AM,Rail Containers Full,130876,136511
US-Mexico Border,11/01/2015 12:00:00 AM,Truck Containers Empty,130106,138900
